material,process,sub_process,power,velocity,hatch_spacing,melt_pool_depth,melt_pool_width,melt_pool_length,depth_over_length,depth_over_width,length_over_width,energy_joules_over_mm,energy_joules_over_mm_cubed,layer_thickness,beam_diameter,absorption_coefficient,absorption_coefficient_2,density,specific_heat_capacity,k,melting_temperature,minimal_absorptivity,melt_pool_shape,spatter,weight_percent_Y,weight_percent_Zn,weight_percent_Mg,weight_percent_Si,weight_percent_Al,weight_percent_Sn,weight_percent_Zr,weight_percent_W,weight_percent_Ti,weight_percent_V,weight_percent_Co,weight_percent_Cu,weight_percent_Ta,weight_percent_Nb,weight_percent_Ni,weight_percent_Cr,weight_percent_Fe,weight_percent_Mn,weight_percent_Mo,D10,D50,D90,paper_id,paper_url,porosity,relative_density,comments,
Ti-6Al-4V,PBF,SLM,280,1200,140,84,,,2.8,,,0.2333333333,56,30,100,0.1984079567,,4470.5,561.5,7.2,1922,0.26,desirable,0.002000401559,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,280,400,140,144,,,4.8,,,0.7,167,30,100,0.5953015858,,4470.5,561.5,7.2,1922,0.26,keyhole,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,280,800,140,102,,,3.4,,,0.35,83,30,100,0.2976507929,,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,280,1000,140,92,,,3.066666667,,,0.28,67,30,100,0.2381206343,,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,280,1500,80,75,,,2.5,,,0.1866666667,44,30,100,0.1587729948,,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,370,1200,140,96,,,3.2,,,0.3083333333,73,30,100,0.262212474,,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,325,1200,140,90,,,3,,,0.2708333333,64,30,100,0.2303490731,,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,100,1200,50,50,,,1.666666667,,,0.08333333333,56,30,100,0.07087663789,,4470.5,561.5,7.2,1922,0.26,LOF,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,165,1200,140,64,,,2.133333333,,,0.1375,33,30,100,0.1169619956,,4470.5,561.5,7.2,1922,0.26,LOF,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,280,1200,160,84,,,2.8,,,0.2333333333,49,30,100,0.1984079567,,4470.5,561.5,7.2,1922,0.26,,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
