material,density_g_cm_3,density_kg_m_3,specific_heat_capacity_j_kg_k,thermal_conductivity_w_m_k,thermal_diffusivity_mm_2_s,data_link,absorptivity,absorptivity_data_link,melting_temperature,weight_percent_Y,weight_percent_Zn,weight_percent_Mg,weight_percent_Si,weight_percent_Al,weight_percent_Sn,weight_percent_Zr,weight_percent_W,weight_percent_Ti,weight_percent_V,weight_percent_Co,weight_percent_Cu,weight_percent_Ta,weight_percent_Nb,weight_percent_Ni,weight_percent_Cr,weight_percent_Fe,weight_percent_Mn,weight_percent_Mo,weight_percent_C,weight_percent_B,notes
4140 steel,7.85,7850,473,42.7,2.572878981,https://www.efunda.com/Materials/alloys/alloy_steels/show_alloy.cfm?ID=AISI_4140&show_prop=all&Page_Title=AISI%204140,0.3,https://pure.coventry.ac.uk/ws/portalfiles/portal/42114563/Binder7.pdf,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,97,0.9,0.2,0,0,
AA7075,2.81,2810,960,130,44.41281139,https://asm.matweb.com/search/SpecificMaterial.asp?bassnum=ma7075t6,0.1,file:///Users/achuthchandrasekhar/Desktop/C_SEM2/RESEARCH/AMUI_STUFF/reference_papers/absorptivity/NielsKerstens2002.pdf,908,0,5.5,2.5,0,90,0,0,0,0,0,0,1.5,0,0,0,0.3,0.1,0.3,0,0,0,
Al-2.5Fe,2.83,2830,886,185,57.91872792,https://www.researchgate.net/publication/347179088_Managing_both_high_strength_and_thermal_conductivity_of_a_laser_powder_bed_fused_Al-25Fe_binary_alloy_Effect_of_annealing_on_microstructure?_tp=eyJjb250ZXh0Ijp7InBhZ2UiOiJwdWJsaWNhdGlvbiIsInByZXZpb3VzUGFnZSI6bnVsbH19,0.09,https://www.researchgate.net/figure/Binary-Al-Fe-equilibrium-phase-diagram-Phillips-1959_fig1_257743131,973.15,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,
Al-C-Co-Fe-Mn-Ni,,,,,,,,,,0,0,0,0,3,0,0,0,0,0,25,0,0,0,25,0,23.6,23.2,0,0,0,
AlSi10Mg,2.68,2680,915,130,44.38432836,https://xometry.eu/wp-content/uploads/2021/03/Aluminium-1706-1.pdf,0.3,https://www.sciencedirect.com/science/article/pii/S0925838823007247#bib18,843,0,0,0.35,9.5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CMSX-4,8.7,8700,397,9,0.410689655,https://www.tandfonline.com/doi/epdf/10.1179/174328408X361454?needAccess=true,0.3,,1773,0,0,0,0,5.6,0,0,6.4,1,0,9.5,0,6.4,0,60,6.4,0,0,0,0,0,absorptivity estimated
Cu10Sn,8.72,8720,376,74,3.190825688,https://www.matweb.com/search/datasheet_print.aspx?matguid=558f2c0231c840339b8056ffb747b2c7,0.17,https://pdf.sciencedirectassets.com/306190/1-s2.0-S2214860420X00066/1-s2.0-S2214860420310551/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEP3%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQCOs3kssTf%2F6uX7GLRswSd8tnoJ%2BWZmrW6ctlkrsF8lMwIhAKSrgwNSENFtbtR3dIUKJ6kJB5H%2FKdldWKYjVgGIjzyfKrIFCDYQBRoMMDU5MDAzNTQ2ODY1IgyccF4%2FF%2F010wEXfC4qjwV0ypTb2lwlJCNbHIQXDDgH5cmftcNx4TIwtoalXG7SYNObFUxGsFFVlbIXK%2FuAUiVAOXSQ0NdJ%2BLUp0nGqOOHEsAr2l77qvt5iMQjZRjYUASjI%2FokPBuka%2F8ARxTb4Jy8z8KMIIsyw%2BZnRPoAgH3XIzmUaBH1OWFdTQ6kFPZ%2BZ2fpORzz4sR%2BlejkIGBlrJaStR%2BWnOdn22hrfZ1TBrMC2lv2%2F%2FEWQ6I1LVSo%2BXnpZ9aalHdbWnF68V00wY4J6CegDM8Uz5Ok5vp0Fgt6gPdd1xxLRmFMbUoHvQSBiuRODSpShFbZ5j0Vi6H1Cu0nu0G7tIcFLHp3kqEnwpOCmaPNpmisGNlZ2bdaft5aMPCeEW7CAe%2FL78AsOalKUh%2FjaYTVHdCwqCWzx5A40yOQuFtmUAEPC8EclZ%2FJr6mVMdda101lK2l4b03iDBDiJ5HJO2ktHyLGbxd7MPPpVCxWeCaXozya0bQNFHg08YSQJtmNztphpJ%2B61PP9j7R1qZCfawj%2FOGOFYSMhvWKApX1rAJRoDQbtdp2kvzmGl2W9MX%2FJAvlBpYfypbbod%2FalaPu0iykT2k%2FzjjUGZ9DzIKietacsMsjwpmAlWd7fXocX%2Bc2PDzR9YcDbtPSkDBHYMlYzpBnP%2F7Xt1c%2BHt%2BTUaJMP0odc1YXx3y%2B3QEJdk%2Fb9cJq4N1hDrBvaX795ggQQ%2Fe%2FIbzRHRSUtazG58sdrfc8rNQxLcWADuZza%2BocvElNyIU2CIR4BIGf8yVyZDz81qbR4hDKfi7RjFpBQ%2BFsnyymQMV3XLWXZguuFghyk5fDh054HUCd4i9SbrUB5z9UU9mVZ8cHzZ0P1xnWV6Los9G5k%2BEKM1oDdDQGeOBPLpeiLBHPCfMO7727AGOrABAPfSsw56xf3DSQscyswTNpQKUoYt2V1PQcNbh7hTdwTGwtXdUGTO0%2By24f%2Flj0fT44g8hxXN9zXPBS2tOShgNSgttRFX4lxqg%2B5OWzW2R8K%2By8s3pTiJDlUCUf2J47BqZ9mlNfdFFBQuAXslfr%2Bdyg5RtJKWFMBW6vB6iopaMueU2SPpDAAhINgyYFSrBm%2F5ldfE5CGXkkXbZfDKpe26Z2tfgVUKk3I%2BwxUSBxwJXgM%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20240410T215840Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY3HQIVDED%2F20240410%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=016195102ebc43f7a1b9a06ee9002a5ffe794ac7383edc4884cc41cdd31dad5d&hash=c80fe19efd57a6719cf41c0c8f6dd4b5810ad7e2b4a5ff276662b04fa40ee5ec&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S2214860420310551&tid=spdf-f24b215f-66a1-4905-be97-dc7558c81f4b&sid=af917460814d0640f1589bf137ba1912dc3dgxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1315585653540908015c&rr=8725ffe8bc2b5796&cc=us,,0,0,0,0,0,10,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,
HCP Cu,8.94,8940,385,386,16.62304251,https://www.luvata.com/docs/default-source/products/alloy-data-sheets/high-conductivity-phosphorous-grade-copper_cu-hcp_eng.pdf?Status=Master&sfvrsn=7dcf3d3_14,0.15,https://www.sciencedirect.com/science/article/pii/S092401362100090X,1356,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,
Hastelloy X,8.22,8220,481,10.4,0.608564477,https://www.spacematdb.com/spacemat/m-datasearch.php?name=Hastelloy%20X,0.69,https://faculty.sustech.edu.cn/wp-content/uploads/2019/01/2019010815232875.pdf,1573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,21.75,18.5,0,9,0,0,
IN625,8.44,8440,410,9.8,0.476066351,https://asm.matweb.com/search/SpecificMaterial.asp?bassnum=NINC33,0.57,"https://repositories.lib.utexas.edu/server/api/core/bitstreams/f4262fbd-f005-4f4d-800e-b3cc5bab848f/content#:~:text=The%20average%20effective%20absorptivity%20factors,%5B13%5D%20%5B14%5D.",1613,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,0,0,
IN718,8.19,8190,435,11.4,0.605494505,https://www.matweb.com/search/DataSheet.aspx?MatGUID=94950a2d209040a09b89952d45086134,0.62,"https://link.springer.com/article/10.1007/s13632-021-00811-0#:~:text=The%20laser%20absorptivity%20of%20IN718,i.e.%2C%20Rosenthal%20(solid).",1573,0,0,0,0,0,0,0,0,1,0,0,0,0,5.5,55,21,0,0,3.3,0,0,
IN738LC,8.17,8170,420,142,7.299877601,https://nickelinstitute.org/media/4690/ni_inco_497_alloy738.pdf,,,1573,0,0,0,0,3.5,0,0,2.6,3.5,0,8,0,1.75,1,61,15,0,0,0,0,0,
