Material         ,Y (wt%) ,Zn (wt%) ,Mg (wt%) ,Si (wt%) ,Al (wt%) ,Sn (wt%) ,Zr (wt%) ,W (wt%) ,Ti (wt%) ,V (wt%) ,Co (wt%) ,Cu (wt%) ,Ta (wt%) ,Nb (wt%) ,Ni  (wt.%) ,Cr  (wt.%) ,Fe (wt.%) ,Mn (wt%) ,Mo (wt.%)
Ti-6Al-4V        ,    0.0 ,     0.0 ,    0.0  ,     0.0 ,    5.5  ,     0.0 ,     0.0 ,    0.0 ,    90.0 ,    4.2 ,     0.0 ,    0.0  ,    0.0  ,    0.0  ,       0.0 ,      0.0  ,      0.0 ,     0.0 ,      0.0
AlSi10Mg         ,    0.0 ,     0.0 ,    0.35 ,     9.5 ,   90.0  ,     0.0 ,     0.0 ,    0.0 ,     0.0 ,    0.0 ,     0.0 ,    0.0  ,    0.0  ,    0.0  ,       0.0 ,      0.0  ,      0.0 ,     0.0 ,      0.0
IN625            ,    0.0 ,     0.0 ,    0.0  ,     0.0 ,    0.0  ,     0.0 ,     0.0 ,    0.0 ,     0.0 ,    0.0 ,     0.0 ,    0.0  ,    0.0  ,    3.35 ,      65.0 ,     21.0  ,      0.0 ,     0.0 ,      9.0
TiC/Inconel 718  ,    0.0 ,     0.0 ,    0.0  ,     0.0 ,    0.3  ,     0.0 ,     0.0 ,    0.0 ,     0.9 ,    0.0 ,     0.0 ,    0.0  ,    0.0  ,    5.1  ,      52.0 ,     18.4  ,     17.7 ,     0.0 ,      4.2
Hastelloy X      ,    0.0 ,     0.0 ,    0.0  ,     0.0 ,    0.0  ,     0.0 ,     0.0 ,    0.0 ,     0.0 ,    0.0 ,     0.0 ,    0.0  ,    0.0  ,    0.0  ,      45.5 ,     21.75 ,     18.5 ,     0.0 ,      9.0
IN718            ,    0.0 ,     0.0 ,    0.0  ,     0.0 ,    0.0  ,     0.0 ,     0.0 ,    0.0 ,     1.0 ,    0.0 ,     0.0 ,    0.0  ,    0.0  ,    5.5  ,      55.0 ,     21.0  ,      0.0 ,     0.0 ,      3.3
Invar36          ,    0.0 ,     0.0 ,    0.0  ,     0.0 ,    0.0  ,     0.0 ,     0.0 ,    0.0 ,     0.0 ,    0.0 ,     0.0 ,    0.0  ,    0.0  ,    0.0  ,      36.0 ,      0.0  ,     64.0 ,     0.0 ,      0.0
SS316L           ,    0.0 ,     0.0 ,    0.0  ,     0.0 ,    0.0  ,     0.0 ,     0.0 ,    0.0 ,     0.0 ,    0.0 ,     0.0 ,    0.0  ,    0.0  ,    0.0  ,      11.4 ,     17.3  ,     65.0 ,     1.5 ,      2.5
IN738LC          ,    0.0 ,     0.0 ,    0.0  ,     0.0 ,    3.5  ,     0.0 ,     0.0 ,    2.6 ,     3.5 ,    0.0 ,     8.0 ,    0.0  ,    1.75 ,    1.0  ,      61.0 ,     15.0  ,      0.0 ,     0.0 ,      0.0
4140 steel       ,    0.0 ,     0.0 ,    0.0  ,     0.0 ,    0.0  ,     0.0 ,     0.0 ,    0.0 ,     0.0 ,    0.0 ,     0.0 ,    0.0  ,    0.0  ,    0.0  ,       0.0 ,      1.1  ,     97.0 ,     0.9 ,      0.2
